,Time,Instruction,Output Channel,Page,Channel No
237,426,synci,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
238,428,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
239,430,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
240,430,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
241,432,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
242,434,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
243,436,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
244,438,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
245,440,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
246,440,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,7
247,440,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
248,442,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
249,444,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
250,446,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
251,448,synci,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
252,450,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
253,450,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
254,452,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
255,454,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
256,456,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
257,458,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
258,460,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
259,460,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,7
260,460,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
261,462,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
262,464,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
263,466,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
264,468,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
265,470,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
266,470,synci,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
267,472,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
268,474,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
269,476,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
